# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
spelunk2||Spelunker II|Platform / Run Jump Scrolling|Irem (licensed from Broderbund)|1986|spelunk2|spelunk2
spelunkr||Spelunker|Platform / Run Jump Scrolling|Irem (licensed from Broderbund)|1985|spelunkr|spelunkr
spf2t||Super Puzzle Fighter II Turbo (USA 960620)|Puzzle / Drop|Capcom|1996|spf2t|spf2t
spf2ta|spf2t|Super Puzzle Fighter II Turbo (Asia 960529)|Puzzle / Drop|Capcom|1996|spf2t|spf2t
spf2xj|spf2t|Super Puzzle Fighter II X (Japan 960531)|Puzzle / Drop|Capcom|1996|spf2t|spf2t
spiders||Spiders (set 1)|Shooter / Gallery|Sigma Enterprises Inc.|1981|spiders|spiders
spiders2|spiders|Spiders (set 2)|Shooter / Gallery|Sigma Enterprises Inc.|1981|spiders|spiders
spidman||Spider-Man: The Videogame (World)||Sega|1991||
spidmanu|spidman|Spider-Man: The Videogame (US)||Sega|1991||
spiero|dorunrun|Super Pierrot (Japan)|Maze|Universal|1987|dorunrun|dorunrun
spikeofe||Spikeout Final Edition||Sega|1998||
spikeout||Spikeout (Revision C)||Sega|1998||
spiker||Spiker|Sports / Volleyball|Bally/Sente|1986|spiker|spiker
spinlbrk||Spinal Breakers (World)|Shooter / 3rd Person|V-System Co.|1990|spinlbrk|spinlbrk
spinmast||Spin Master / Miracle Adventure|Platform / Fighter Scrolling|Data East Corporation|1993|spinmast|spinmast
spinner|spiders|Spinner|Shooter / Gallery|bootleg|1981|spiders|spiders
splash||Splash! (Ver. 1.2 World)|Misc.|Gaelco|1992|splash|splash
splash10|splash|Splash! (Ver. 1.0 World)||Gaelco|1992|splash|splash
splat||Splat!|Shooter / Field|Williams|1982|splat|splat
splatter||Splatter House (World new version)|Fighter / 2D|Namco|1988|splatter|splatter
splndrbt||Splendor Blast|Driving / Race|Alpha Denshi Co.|1985|splndrbt|splndrbt
spnchout||Super Punch-Out!!|Sports / Boxing|Nintendo|1984|spnchout|spnchout
spool3|pcktgal|Super Pool III (English)|Sports / Pool|Data East Corporation|1989|pcktgal|pcktgal
spool3i|pcktgal|Super Pool III (I-Vics)|Sports / Pool|Data East Corporation (I-Vics license)|1990|pcktgal|pcktgal
